what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.repositories,1239541594235
activated,perspective,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui.svnPerspective,1239541594255
activated,view,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui.repository.RepositoriesView,1239541594261
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1239541594274
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1239541594274
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541594288
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541598807
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.6.1,org.tigris.subversion.clientadapter.javahl,1239541638210
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6.1,org.tigris.subversion.clientadapter.svnkit,1239541638212
started,bundle,org.tmatesoft.svnkit,1.2.3.5521,org.tmatesoft.svnkit,1239541638365
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541655630
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541658666
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541684466
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1239541688251
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541690541
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541841069
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541872890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541894219
started,bundle,com.sun.jna,3.0.9,com.sun.jna,1239541894234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239541894563
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542303710
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542311457
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542329353
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542333794
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.5,org.tigris.subversion.subclipse.graph,1239542334039
