what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542345923
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.6.1,org.tigris.subversion.clientadapter.javahl,1239542347643
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6.1,org.tigris.subversion.clientadapter.svnkit,1239542347645
started,bundle,org.tmatesoft.svnkit,1.2.3.5521,org.tmatesoft.svnkit,1239542347669
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542349122
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542351392
started,bundle,com.sun.jna,3.0.9,com.sun.jna,1239542351392
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1239542361075
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542361407
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1239542361431
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542370770
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542371102
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542374129
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542376092
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542421906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542428181
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542430108
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542430681
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542436435
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542449441
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542450458
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542457122
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542480033
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542482082
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239542562965
